S/N,Year,Month,Day,HS of Year,EB of Year,HS of Month,EB of Month,HS of Day,EB of Day,Season
8082,1945,1,15,1,9,4,2,1,9,12
8083,1945,1,16,1,9,4,2,2,10,12
8084,1945,1,17,1,9,4,2,3,11,12
8085,1945,1,18,1,9,4,2,4,12,12
8086,1945,1,19,1,9,4,2,5,1,12
8087,1945,1,20,1,9,4,2,6,2,12
8088,1945,1,21,1,9,4,2,7,3,12
8089,1945,1,22,1,9,4,2,8,4,12
8090,1945,1,23,1,9,4,2,9,5,12
8091,1945,1,24,1,9,4,2,10,6,12
8092,1945,1,25,1,9,4,2,1,7,12
8093,1945,1,26,1,9,4,2,2,8,12
8094,1945,1,27,1,9,4,2,3,9,12
8095,1945,1,28,1,9,4,2,4,10,12
8096,1945,1,29,1,9,4,2,5,11,12
8097,1945,1,30,1,9,4,2,6,12,12
8098,1945,1,31,1,9,4,2,7,1,12
8099,1945,2,1,1,9,4,2,8,2,12
8100,1945,2,2,1,9,4,2,9,3,12
8101,1945,2,3,1,9,4,2,10,4,12
8102,1945,2,4,2,10,5,3,1,5,1
8103,1945,2,5,2,10,5,3,2,6,1
8104,1945,2,6,2,10,5,3,3,7,1
8105,1945,2,7,2,10,5,3,4,8,1
8106,1945,2,8,2,10,5,3,5,9,1
8107,1945,2,9,2,10,5,3,6,10,1
8108,1945,2,10,2,10,5,3,7,11,1
8109,1945,2,11,2,10,5,3,8,12,1
8110,1945,2,12,2,10,5,3,9,1,1
8111,1945,2,13,2,10,5,3,10,2,1
8112,1945,2,14,2,10,5,3,1,3,1
8113,1945,2,15,2,10,5,3,2,4,1
8114,1945,2,16,2,10,5,3,3,5,1
8115,1945,2,17,2,10,5,3,4,6,1
8116,1945,2,18,2,10,5,3,5,7,1
8117,1945,2,19,2,10,5,3,6,8,1
8118,1945,2,20,2,10,5,3,7,9,1
8119,1945,2,21,2,10,5,3,8,10,1
8120,1945,2,22,2,10,5,3,9,11,1
8121,1945,2,23,2,10,5,3,10,12,1
8122,1945,2,24,2,10,5,3,1,1,1
8123,1945,2,25,2,10,5,3,2,2,1
8124,1945,2,26,2,10,5,3,3,3,1
8125,1945,2,27,2,10,5,3,4,4,1
8126,1945,2,28,2,10,5,3,5,5,1
8127,1945,3,1,2,10,5,3,6,6,1
8128,1945,3,2,2,10,5,3,7,7,1
8129,1945,3,3,2,10,5,3,8,8,1
8130,1945,3,4,2,10,5,3,9,9,1
8131,1945,3,5,2,10,5,3,10,10,1
8132,1945,3,6,2,10,6,4,1,11,2
8133,1945,3,7,2,10,6,4,2,12,2
8134,1945,3,8,2,10,6,4,3,1,2
8135,1945,3,9,2,10,6,4,4,2,2
8136,1945,3,10,2,10,6,4,5,3,2
8137,1945,3,11,2,10,6,4,6,4,2
8138,1945,3,12,2,10,6,4,7,5,2
8139,1945,3,13,2,10,6,4,8,6,2
8140,1945,3,14,2,10,6,4,9,7,2
8141,1945,3,15,2,10,6,4,10,8,2
8142,1945,3,16,2,10,6,4,1,9,2
8143,1945,3,17,2,10,6,4,2,10,2
8144,1945,3,18,2,10,6,4,3,11,2
8145,1945,3,19,2,10,6,4,4,12,2
8146,1945,3,20,2,10,6,4,5,1,2
8147,1945,3,21,2,10,6,4,6,2,2
8148,1945,3,22,2,10,6,4,7,3,2
8149,1945,3,23,2,10,6,4,8,4,2
8150,1945,3,24,2,10,6,4,9,5,2
8151,1945,3,25,2,10,6,4,10,6,2
8152,1945,3,26,2,10,6,4,1,7,2
8153,1945,3,27,2,10,6,4,2,8,2
8154,1945,3,28,2,10,6,4,3,9,2
8155,1945,3,29,2,10,6,4,4,10,2
8156,1945,3,30,2,10,6,4,5,11,2
8157,1945,3,31,2,10,6,4,6,12,2
8158,1945,4,1,2,10,6,4,7,1,2
8159,1945,4,2,2,10,6,4,8,2,2
8160,1945,4,3,2,10,6,4,9,3,2
8161,1945,4,4,2,10,6,4,10,4,2
8162,1945,4,5,2,10,7,5,1,5,3
8163,1945,4,6,2,10,7,5,2,6,3
8164,1945,4,7,2,10,7,5,3,7,3
8165,1945,4,8,2,10,7,5,4,8,3
8166,1945,4,9,2,10,7,5,5,9,3
8167,1945,4,10,2,10,7,5,6,10,3
8168,1945,4,11,2,10,7,5,7,11,3
8169,1945,4,12,2,10,7,5,8,12,3
8170,1945,4,13,2,10,7,5,9,1,3
8171,1945,4,14,2,10,7,5,10,2,3
8172,1945,4,15,2,10,7,5,1,3,3
8173,1945,4,16,2,10,7,5,2,4,3
8174,1945,4,17,2,10,7,5,3,5,3
8175,1945,4,18,2,10,7,5,4,6,3
8176,1945,4,19,2,10,7,5,5,7,3
8177,1945,4,20,2,10,7,5,6,8,3
8178,1945,4,21,2,10,7,5,7,9,3
8179,1945,4,22,2,10,7,5,8,10,3
8180,1945,4,23,2,10,7,5,9,11,3
8181,1945,4,24,2,10,7,5,10,12,3
8182,1945,4,25,2,10,7,5,1,1,3
8183,1945,4,26,2,10,7,5,2,2,3
8184,1945,4,27,2,10,7,5,3,3,3
8185,1945,4,28,2,10,7,5,4,4,3
8186,1945,4,29,2,10,7,5,5,5,3
8187,1945,4,30,2,10,7,5,6,6,3
8188,1945,5,1,2,10,7,5,7,7,3
8189,1945,5,2,2,10,7,5,8,8,3
8190,1945,5,3,2,10,7,5,9,9,3
8191,1945,5,4,2,10,7,5,10,10,3
8192,1945,5,5,2,10,7,5,1,11,3
8193,1945,5,6,2,10,8,6,2,12,4
8194,1945,5,7,2,10,8,6,3,1,4
8195,1945,5,8,2,10,8,6,4,2,4
8196,1945,5,9,2,10,8,6,5,3,4
8197,1945,5,10,2,10,8,6,6,4,4
8198,1945,5,11,2,10,8,6,7,5,4
8199,1945,5,12,2,10,8,6,8,6,4
8200,1945,5,13,2,10,8,6,9,7,4
8201,1945,5,14,2,10,8,6,10,8,4
8202,1945,5,15,2,10,8,6,1,9,4
8203,1945,5,16,2,10,8,6,2,10,4
8204,1945,5,17,2,10,8,6,3,11,4
8205,1945,5,18,2,10,8,6,4,12,4
8206,1945,5,19,2,10,8,6,5,1,4
8207,1945,5,20,2,10,8,6,6,2,4
8208,1945,5,21,2,10,8,6,7,3,4
8209,1945,5,22,2,10,8,6,8,4,4
8210,1945,5,23,2,10,8,6,9,5,4
8211,1945,5,24,2,10,8,6,10,6,4
8212,1945,5,25,2,10,8,6,1,7,4
8213,1945,5,26,2,10,8,6,2,8,4
8214,1945,5,27,2,10,8,6,3,9,4
8215,1945,5,28,2,10,8,6,4,10,4
8216,1945,5,29,2,10,8,6,5,11,4
8217,1945,5,30,2,10,8,6,6,12,4
8218,1945,5,31,2,10,8,6,7,1,4
8219,1945,6,1,2,10,8,6,8,2,4
8220,1945,6,2,2,10,8,6,9,3,4
8221,1945,6,3,2,10,8,6,10,4,4
8222,1945,6,4,2,10,8,6,1,5,4
8223,1945,6,5,2,10,8,6,2,6,4
8224,1945,6,6,2,10,9,7,3,7,5
8225,1945,6,7,2,10,9,7,4,8,5
8226,1945,6,8,2,10,9,7,5,9,5
8227,1945,6,9,2,10,9,7,6,10,5
8228,1945,6,10,2,10,9,7,7,11,5
8229,1945,6,11,2,10,9,7,8,12,5
8230,1945,6,12,2,10,9,7,9,1,5
8231,1945,6,13,2,10,9,7,10,2,5
8232,1945,6,14,2,10,9,7,1,3,5
8233,1945,6,15,2,10,9,7,2,4,5
8234,1945,6,16,2,10,9,7,3,5,5
8235,1945,6,17,2,10,9,7,4,6,5
8236,1945,6,18,2,10,9,7,5,7,5
8237,1945,6,19,2,10,9,7,6,8,5
8238,1945,6,20,2,10,9,7,7,9,5
8239,1945,6,21,2,10,9,7,8,10,5
8240,1945,6,22,2,10,9,7,9,11,5
8241,1945,6,23,2,10,9,7,10,12,5
8242,1945,6,24,2,10,9,7,1,1,5
8243,1945,6,25,2,10,9,7,2,2,5
8244,1945,6,26,2,10,9,7,3,3,5
8245,1945,6,27,2,10,9,7,4,4,5
8246,1945,6,28,2,10,9,7,5,5,5
8247,1945,6,29,2,10,9,7,6,6,5
8248,1945,6,30,2,10,9,7,7,7,5
8249,1945,7,1,2,10,9,7,8,8,5
8250,1945,7,2,2,10,9,7,9,9,5
8251,1945,7,3,2,10,9,7,10,10,5
8252,1945,7,4,2,10,9,7,1,11,5
8253,1945,7,5,2,10,9,7,2,12,5
8254,1945,7,6,2,10,9,7,3,1,5
8255,1945,7,7,2,10,10,8,4,2,6
8256,1945,7,8,2,10,10,8,5,3,6
8257,1945,7,9,2,10,10,8,6,4,6
8258,1945,7,10,2,10,10,8,7,5,6
8259,1945,7,11,2,10,10,8,8,6,6
8260,1945,7,12,2,10,10,8,9,7,6
8261,1945,7,13,2,10,10,8,10,8,6
8262,1945,7,14,2,10,10,8,1,9,6
8263,1945,7,15,2,10,10,8,2,10,6
8264,1945,7,16,2,10,10,8,3,11,6
8265,1945,7,17,2,10,10,8,4,12,6
8266,1945,7,18,2,10,10,8,5,1,6
8267,1945,7,19,2,10,10,8,6,2,6
8268,1945,7,20,2,10,10,8,7,3,6
8269,1945,7,21,2,10,10,8,8,4,6
8270,1945,7,22,2,10,10,8,9,5,6
8271,1945,7,23,2,10,10,8,10,6,6
8272,1945,7,24,2,10,10,8,1,7,6
8273,1945,7,25,2,10,10,8,2,8,6
8274,1945,7,26,2,10,10,8,3,9,6
8275,1945,7,27,2,10,10,8,4,10,6
8276,1945,7,28,2,10,10,8,5,11,6
8277,1945,7,29,2,10,10,8,6,12,6
8278,1945,7,30,2,10,10,8,7,1,6
8279,1945,7,31,2,10,10,8,8,2,6
8280,1945,8,1,2,10,10,8,9,3,6
8281,1945,8,2,2,10,10,8,10,4,6
8282,1945,8,3,2,10,10,8,1,5,6
8283,1945,8,4,2,10,10,8,2,6,6
8284,1945,8,5,2,10,10,8,3,7,6
8285,1945,8,6,2,10,10,8,4,8,6
8286,1945,8,7,2,10,10,8,5,9,6
8287,1945,8,8,2,10,1,9,6,10,7
8288,1945,8,9,2,10,1,9,7,11,7
8289,1945,8,10,2,10,1,9,8,12,7
8290,1945,8,11,2,10,1,9,9,1,7
8291,1945,8,12,2,10,1,9,10,2,7
8292,1945,8,13,2,10,1,9,1,3,7
8293,1945,8,14,2,10,1,9,2,4,7
8294,1945,8,15,2,10,1,9,3,5,7
8295,1945,8,16,2,10,1,9,4,6,7
8296,1945,8,17,2,10,1,9,5,7,7
8297,1945,8,18,2,10,1,9,6,8,7
8298,1945,8,19,2,10,1,9,7,9,7
8299,1945,8,20,2,10,1,9,8,10,7
8300,1945,8,21,2,10,1,9,9,11,7
8301,1945,8,22,2,10,1,9,10,12,7
8302,1945,8,23,2,10,1,9,1,1,7
8303,1945,8,24,2,10,1,9,2,2,7
8304,1945,8,25,2,10,1,9,3,3,7
8305,1945,8,26,2,10,1,9,4,4,7
8306,1945,8,27,2,10,1,9,5,5,7
8307,1945,8,28,2,10,1,9,6,6,7
8308,1945,8,29,2,10,1,9,7,7,7
8309,1945,8,30,2,10,1,9,8,8,7
8310,1945,8,31,2,10,1,9,9,9,7
8311,1945,9,1,2,10,1,9,10,10,7
8312,1945,9,2,2,10,1,9,1,11,7
8313,1945,9,3,2,10,1,9,2,12,7
8314,1945,9,4,2,10,1,9,3,1,7
8315,1945,9,5,2,10,1,9,4,2,7
8316,1945,9,6,2,10,1,9,5,3,7
8317,1945,9,7,2,10,1,9,6,4,7
8318,1945,9,8,2,10,2,10,7,5,8
8319,1945,9,9,2,10,2,10,8,6,8
8320,1945,9,10,2,10,2,10,9,7,8
8321,1945,9,11,2,10,2,10,10,8,8
8322,1945,9,12,2,10,2,10,1,9,8
8323,1945,9,13,2,10,2,10,2,10,8
8324,1945,9,14,2,10,2,10,3,11,8
8325,1945,9,15,2,10,2,10,4,12,8
8326,1945,9,16,2,10,2,10,5,1,8
8327,1945,9,17,2,10,2,10,6,2,8
8328,1945,9,18,2,10,2,10,7,3,8
8329,1945,9,19,2,10,2,10,8,4,8
8330,1945,9,20,2,10,2,10,9,5,8
8331,1945,9,21,2,10,2,10,10,6,8
8332,1945,9,22,2,10,2,10,1,7,8
8333,1945,9,23,2,10,2,10,2,8,8
8334,1945,9,24,2,10,2,10,3,9,8
8335,1945,9,25,2,10,2,10,4,10,8
8336,1945,9,26,2,10,2,10,5,11,8
8337,1945,9,27,2,10,2,10,6,12,8
8338,1945,9,28,2,10,2,10,7,1,8
8339,1945,9,29,2,10,2,10,8,2,8
8340,1945,9,30,2,10,2,10,9,3,8
8341,1945,10,1,2,10,2,10,10,4,8
8342,1945,10,2,2,10,2,10,1,5,8
8343,1945,10,3,2,10,2,10,2,6,8
8344,1945,10,4,2,10,2,10,3,7,8
8345,1945,10,5,2,10,2,10,4,8,8
8346,1945,10,6,2,10,2,10,5,9,8
8347,1945,10,7,2,10,2,10,6,10,8
8348,1945,10,8,2,10,3,11,7,11,9
8349,1945,10,9,2,10,3,11,8,12,9
8350,1945,10,10,2,10,3,11,9,1,9
8351,1945,10,11,2,10,3,11,10,2,9
8352,1945,10,12,2,10,3,11,1,3,9
8353,1945,10,13,2,10,3,11,2,4,9
8354,1945,10,14,2,10,3,11,3,5,9
8355,1945,10,15,2,10,3,11,4,6,9
8356,1945,10,16,2,10,3,11,5,7,9
8357,1945,10,17,2,10,3,11,6,8,9
8358,1945,10,18,2,10,3,11,7,9,9
8359,1945,10,19,2,10,3,11,8,10,9
8360,1945,10,20,2,10,3,11,9,11,9
8361,1945,10,21,2,10,3,11,10,12,9
8362,1945,10,22,2,10,3,11,1,1,9
8363,1945,10,23,2,10,3,11,2,2,9
8364,1945,10,24,2,10,3,11,3,3,9
8365,1945,10,25,2,10,3,11,4,4,9
8366,1945,10,26,2,10,3,11,5,5,9
8367,1945,10,27,2,10,3,11,6,6,9
8368,1945,10,28,2,10,3,11,7,7,9
8369,1945,10,29,2,10,3,11,8,8,9
8370,1945,10,30,2,10,3,11,9,9,9
8371,1945,10,31,2,10,3,11,10,10,9
8372,1945,11,1,2,10,3,11,1,11,9
8373,1945,11,2,2,10,3,11,2,12,9
8374,1945,11,3,2,10,3,11,3,1,9
8375,1945,11,4,2,10,3,11,4,2,9
8376,1945,11,5,2,10,3,11,5,3,9
8377,1945,11,6,2,10,3,11,6,4,9
8378,1945,11,7,2,10,3,11,7,5,9
8379,1945,11,8,2,10,4,12,8,6,10
8380,1945,11,9,2,10,4,12,9,7,10
8381,1945,11,10,2,10,4,12,10,8,10
8382,1945,11,11,2,10,4,12,1,9,10
8383,1945,11,12,2,10,4,12,2,10,10
8384,1945,11,13,2,10,4,12,3,11,10
8385,1945,11,14,2,10,4,12,4,12,10
8386,1945,11,15,2,10,4,12,5,1,10
8387,1945,11,16,2,10,4,12,6,2,10
8388,1945,11,17,2,10,4,12,7,3,10
8389,1945,11,18,2,10,4,12,8,4,10
8390,1945,11,19,2,10,4,12,9,5,10
8391,1945,11,20,2,10,4,12,10,6,10
8392,1945,11,21,2,10,4,12,1,7,10
8393,1945,11,22,2,10,4,12,2,8,10
8394,1945,11,23,2,10,4,12,3,9,10
8395,1945,11,24,2,10,4,12,4,10,10
8396,1945,11,25,2,10,4,12,5,11,10
8397,1945,11,26,2,10,4,12,6,12,10
8398,1945,11,27,2,10,4,12,7,1,10
8399,1945,11,28,2,10,4,12,8,2,10
8400,1945,11,29,2,10,4,12,9,3,10
8401,1945,11,30,2,10,4,12,10,4,10
8402,1945,12,1,2,10,4,12,1,5,10
8403,1945,12,2,2,10,4,12,2,6,10
8404,1945,12,3,2,10,4,12,3,7,10
8405,1945,12,4,2,10,4,12,4,8,10
8406,1945,12,5,2,10,4,12,5,9,10
8407,1945,12,6,2,10,4,12,6,10,10
8408,1945,12,7,2,10,5,1,7,11,11
8409,1945,12,8,2,10,5,1,8,12,11
8410,1945,12,9,2,10,5,1,9,1,11
8411,1945,12,10,2,10,5,1,10,2,11
8412,1945,12,11,2,10,5,1,1,3,11
8413,1945,12,12,2,10,5,1,2,4,11
8414,1945,12,13,2,10,5,1,3,5,11
8415,1945,12,14,2,10,5,1,4,6,11
8416,1945,12,15,2,10,5,1,5,7,11
8417,1945,12,16,2,10,5,1,6,8,11
8418,1945,12,17,2,10,5,1,7,9,11
8419,1945,12,18,2,10,5,1,8,10,11
8420,1945,12,19,2,10,5,1,9,11,11
8421,1945,12,20,2,10,5,1,10,12,11
8422,1945,12,21,2,10,5,1,1,1,11
8423,1945,12,22,2,10,5,1,2,2,11
8424,1945,12,23,2,10,5,1,3,3,11
8425,1945,12,24,2,10,5,1,4,4,11
8426,1945,12,25,2,10,5,1,5,5,11
8427,1945,12,26,2,10,5,1,6,6,11
8428,1945,12,27,2,10,5,1,7,7,11
8429,1945,12,28,2,10,5,1,8,8,11
8430,1945,12,29,2,10,5,1,9,9,11
8431,1945,12,30,2,10,5,1,10,10,11
8432,1945,12,31,2,10,5,1,1,11,11
8433,1946,1,1,2,10,5,1,2,12,11
8434,1946,1,2,2,10,5,1,3,1,11
8435,1946,1,3,2,10,5,1,4,2,11
8436,1946,1,4,2,10,5,1,5,3,11
8437,1946,1,5,2,10,5,1,6,4,11
8438,1946,1,6,2,10,6,2,7,5,12
8439,1946,1,7,2,10,6,2,8,6,12
8440,1946,1,8,2,10,6,2,9,7,12
8441,1946,1,9,2,10,6,2,10,8,12
8442,1946,1,10,2,10,6,2,1,9,12
8443,1946,1,11,2,10,6,2,2,10,12
8444,1946,1,12,2,10,6,2,3,11,12
8445,1946,1,13,2,10,6,2,4,12,12
8446,1946,1,14,2,10,6,2,5,1,12
8447,1946,1,15,2,10,6,2,6,2,12
8448,1946,1,16,2,10,6,2,7,3,12
8449,1946,1,17,2,10,6,2,8,4,12
8450,1946,1,18,2,10,6,2,9,5,12
8451,1946,1,19,2,10,6,2,10,6,12
8452,1946,1,20,2,10,6,2,1,7,12
8453,1946,1,21,2,10,6,2,2,8,12
8454,1946,1,22,2,10,6,2,3,9,12
8455,1946,1,23,2,10,6,2,4,10,12
8456,1946,1,24,2,10,6,2,5,11,12
8457,1946,1,25,2,10,6,2,6,12,12
8458,1946,1,26,2,10,6,2,7,1,12
8459,1946,1,27,2,10,6,2,8,2,12
8460,1946,1,28,2,10,6,2,9,3,12
8461,1946,1,29,2,10,6,2,10,4,12
8462,1946,1,30,2,10,6,2,1,5,12
8463,1946,1,31,2,10,6,2,2,6,12
8464,1946,2,1,2,10,6,2,3,7,12
8465,1946,2,2,2,10,6,2,4,8,12
8466,1946,2,3,2,10,6,2,5,9,12
8467,1946,2,4,3,11,7,3,6,10,1
8468,1946,2,5,3,11,7,3,7,11,1
8469,1946,2,6,3,11,7,3,8,12,1
8470,1946,2,7,3,11,7,3,9,1,1
8471,1946,2,8,3,11,7,3,10,2,1
8472,1946,2,9,3,11,7,3,1,3,1
8473,1946,2,10,3,11,7,3,2,4,1
8474,1946,2,11,3,11,7,3,3,5,1
8475,1946,2,12,3,11,7,3,4,6,1
8476,1946,2,13,3,11,7,3,5,7,1
8477,1946,2,14,3,11,7,3,6,8,1
8478,1946,2,15,3,11,7,3,7,9,1
8479,1946,2,16,3,11,7,3,8,10,1
8480,1946,2,17,3,11,7,3,9,11,1
8481,1946,2,18,3,11,7,3,10,12,1
8482,1946,2,19,3,11,7,3,1,1,1
8483,1946,2,20,3,11,7,3,2,2,1
8484,1946,2,21,3,11,7,3,3,3,1
8485,1946,2,22,3,11,7,3,4,4,1
8486,1946,2,23,3,11,7,3,5,5,1
8487,1946,2,24,3,11,7,3,6,6,1
8488,1946,2,25,3,11,7,3,7,7,1
8489,1946,2,26,3,11,7,3,8,8,1
8490,1946,2,27,3,11,7,3,9,9,1
8491,1946,2,28,3,11,7,3,10,10,1
8492,1946,3,1,3,11,7,3,1,11,1
8493,1946,3,2,3,11,7,3,2,12,1
8494,1946,3,3,3,11,7,3,3,1,1
8495,1946,3,4,3,11,7,3,4,2,1
8496,1946,3,5,3,11,7,3,5,3,1
8497,1946,3,6,3,11,8,4,6,4,2
8498,1946,3,7,3,11,8,4,7,5,2
8499,1946,3,8,3,11,8,4,8,6,2
8500,1946,3,9,3,11,8,4,9,7,2
8501,1946,3,10,3,11,8,4,10,8,2
8502,1946,3,11,3,11,8,4,1,9,2
8503,1946,3,12,3,11,8,4,2,10,2
8504,1946,3,13,3,11,8,4,3,11,2
8505,1946,3,14,3,11,8,4,4,12,2
8506,1946,3,15,3,11,8,4,5,1,2
8507,1946,3,16,3,11,8,4,6,2,2
8508,1946,3,17,3,11,8,4,7,3,2
8509,1946,3,18,3,11,8,4,8,4,2
8510,1946,3,19,3,11,8,4,9,5,2
8511,1946,3,20,3,11,8,4,10,6,2
8512,1946,3,21,3,11,8,4,1,7,2
8513,1946,3,22,3,11,8,4,2,8,2
8514,1946,3,23,3,11,8,4,3,9,2
8515,1946,3,24,3,11,8,4,4,10,2
8516,1946,3,25,3,11,8,4,5,11,2
8517,1946,3,26,3,11,8,4,6,12,2
8518,1946,3,27,3,11,8,4,7,1,2
8519,1946,3,28,3,11,8,4,8,2,2
8520,1946,3,29,3,11,8,4,9,3,2
8521,1946,3,30,3,11,8,4,10,4,2
8522,1946,3,31,3,11,8,4,1,5,2
8523,1946,4,1,3,11,8,4,2,6,2
8524,1946,4,2,3,11,8,4,3,7,2
8525,1946,4,3,3,11,8,4,4,8,2
8526,1946,4,4,3,11,8,4,5,9,2
8527,1946,4,5,3,11,9,5,6,10,3
8528,1946,4,6,3,11,9,5,7,11,3
8529,1946,4,7,3,11,9,5,8,12,3
8530,1946,4,8,3,11,9,5,9,1,3
8531,1946,4,9,3,11,9,5,10,2,3
8532,1946,4,10,3,11,9,5,1,3,3
8533,1946,4,11,3,11,9,5,2,4,3
8534,1946,4,12,3,11,9,5,3,5,3
8535,1946,4,13,3,11,9,5,4,6,3
8536,1946,4,14,3,11,9,5,5,7,3
8537,1946,4,15,3,11,9,5,6,8,3
8538,1946,4,16,3,11,9,5,7,9,3
8539,1946,4,17,3,11,9,5,8,10,3
8540,1946,4,18,3,11,9,5,9,11,3
8541,1946,4,19,3,11,9,5,10,12,3
8542,1946,4,20,3,11,9,5,1,1,3
8543,1946,4,21,3,11,9,5,2,2,3
8544,1946,4,22,3,11,9,5,3,3,3
8545,1946,4,23,3,11,9,5,4,4,3
8546,1946,4,24,3,11,9,5,5,5,3
8547,1946,4,25,3,11,9,5,6,6,3
8548,1946,4,26,3,11,9,5,7,7,3
8549,1946,4,27,3,11,9,5,8,8,3
8550,1946,4,28,3,11,9,5,9,9,3
8551,1946,4,29,3,11,9,5,10,10,3
8552,1946,4,30,3,11,9,5,1,11,3
8553,1946,5,1,3,11,9,5,2,12,3
8554,1946,5,2,3,11,9,5,3,1,3
8555,1946,5,3,3,11,9,5,4,2,3
8556,1946,5,4,3,11,9,5,5,3,3
8557,1946,5,5,3,11,9,5,6,4,3
8558,1946,5,6,3,11,10,6,7,5,4
8559,1946,5,7,3,11,10,6,8,6,4
8560,1946,5,8,3,11,10,6,9,7,4
8561,1946,5,9,3,11,10,6,10,8,4
8562,1946,5,10,3,11,10,6,1,9,4
8563,1946,5,11,3,11,10,6,2,10,4
8564,1946,5,12,3,11,10,6,3,11,4
8565,1946,5,13,3,11,10,6,4,12,4
8566,1946,5,14,3,11,10,6,5,1,4
8567,1946,5,15,3,11,10,6,6,2,4
8568,1946,5,16,3,11,10,6,7,3,4
8569,1946,5,17,3,11,10,6,8,4,4
8570,1946,5,18,3,11,10,6,9,5,4
8571,1946,5,19,3,11,10,6,10,6,4
8572,1946,5,20,3,11,10,6,1,7,4
8573,1946,5,21,3,11,10,6,2,8,4
8574,1946,5,22,3,11,10,6,3,9,4
8575,1946,5,23,3,11,10,6,4,10,4
8576,1946,5,24,3,11,10,6,5,11,4
8577,1946,5,25,3,11,10,6,6,12,4
8578,1946,5,26,3,11,10,6,7,1,4
8579,1946,5,27,3,11,10,6,8,2,4
8580,1946,5,28,3,11,10,6,9,3,4
8581,1946,5,29,3,11,10,6,10,4,4
8582,1946,5,30,3,11,10,6,1,5,4
8583,1946,5,31,3,11,10,6,2,6,4
8584,1946,6,1,3,11,10,6,3,7,4
8585,1946,6,2,3,11,10,6,4,8,4
8586,1946,6,3,3,11,10,6,5,9,4
8587,1946,6,4,3,11,10,6,6,10,4
8588,1946,6,5,3,11,10,6,7,11,4
8589,1946,6,6,3,11,1,7,8,12,5
8590,1946,6,7,3,11,1,7,9,1,5
8591,1946,6,8,3,11,1,7,10,2,5
8592,1946,6,9,3,11,1,7,1,3,5
8593,1946,6,10,3,11,1,7,2,4,5
8594,1946,6,11,3,11,1,7,3,5,5
8595,1946,6,12,3,11,1,7,4,6,5
8596,1946,6,13,3,11,1,7,5,7,5
8597,1946,6,14,3,11,1,7,6,8,5
8598,1946,6,15,3,11,1,7,7,9,5
8599,1946,6,16,3,11,1,7,8,10,5
8600,1946,6,17,3,11,1,7,9,11,5
8601,1946,6,18,3,11,1,7,10,12,5
8602,1946,6,19,3,11,1,7,1,1,5
8603,1946,6,20,3,11,1,7,2,2,5
8604,1946,6,21,3,11,1,7,3,3,5
8605,1946,6,22,3,11,1,7,4,4,5
8606,1946,6,23,3,11,1,7,5,5,5
8607,1946,6,24,3,11,1,7,6,6,5
8608,1946,6,25,3,11,1,7,7,7,5
8609,1946,6,26,3,11,1,7,8,8,5
8610,1946,6,27,3,11,1,7,9,9,5
8611,1946,6,28,3,11,1,7,10,10,5
8612,1946,6,29,3,11,1,7,1,11,5
8613,1946,6,30,3,11,1,7,2,12,5
8614,1946,7,1,3,11,1,7,3,1,5
8615,1946,7,2,3,11,1,7,4,2,5
8616,1946,7,3,3,11,1,7,5,3,5
8617,1946,7,4,3,11,1,7,6,4,5
8618,1946,7,5,3,11,1,7,7,5,5
8619,1946,7,6,3,11,1,7,8,6,5
8620,1946,7,7,3,11,1,7,9,7,5
8621,1946,7,8,3,11,2,8,10,8,6
8622,1946,7,9,3,11,2,8,1,9,6
8623,1946,7,10,3,11,2,8,2,10,6
8624,1946,7,11,3,11,2,8,3,11,6
8625,1946,7,12,3,11,2,8,4,12,6
8626,1946,7,13,3,11,2,8,5,1,6
8627,1946,7,14,3,11,2,8,6,2,6
8628,1946,7,15,3,11,2,8,7,3,6
8629,1946,7,16,3,11,2,8,8,4,6
8630,1946,7,17,3,11,2,8,9,5,6
8631,1946,7,18,3,11,2,8,10,6,6
8632,1946,7,19,3,11,2,8,1,7,6
8633,1946,7,20,3,11,2,8,2,8,6
8634,1946,7,21,3,11,2,8,3,9,6
8635,1946,7,22,3,11,2,8,4,10,6
8636,1946,7,23,3,11,2,8,5,11,6
8637,1946,7,24,3,11,2,8,6,12,6
8638,1946,7,25,3,11,2,8,7,1,6
8639,1946,7,26,3,11,2,8,8,2,6
8640,1946,7,27,3,11,2,8,9,3,6
8641,1946,7,28,3,11,2,8,10,4,6
8642,1946,7,29,3,11,2,8,1,5,6
8643,1946,7,30,3,11,2,8,2,6,6
8644,1946,7,31,3,11,2,8,3,7,6
8645,1946,8,1,3,11,2,8,4,8,6
8646,1946,8,2,3,11,2,8,5,9,6
8647,1946,8,3,3,11,2,8,6,10,6
8648,1946,8,4,3,11,2,8,7,11,6
8649,1946,8,5,3,11,2,8,8,12,6
8650,1946,8,6,3,11,2,8,9,1,6
8651,1946,8,7,3,11,2,8,10,2,6
8652,1946,8,8,3,11,3,9,1,3,7
8653,1946,8,9,3,11,3,9,2,4,7
8654,1946,8,10,3,11,3,9,3,5,7
8655,1946,8,11,3,11,3,9,4,6,7
8656,1946,8,12,3,11,3,9,5,7,7
8657,1946,8,13,3,11,3,9,6,8,7
8658,1946,8,14,3,11,3,9,7,9,7
8659,1946,8,15,3,11,3,9,8,10,7
8660,1946,8,16,3,11,3,9,9,11,7
8661,1946,8,17,3,11,3,9,10,12,7
8662,1946,8,18,3,11,3,9,1,1,7
