name,ID,HS_Hour,EB_Hour,HS_Day,HS_Month,EB_Month,HS_Year,EB_Year,EB_Hour_eng,EB_Day,EB_Day_eng,EB_Month_eng,EB_Year_eng,Season,Element,kin_tone,kin_seal,kin_number,guide_seal,guide_tone,analogue_seal,analogue_tone,antipode_seal,antipode_tone,occult_seal,occult_tone,tribe,a_tribe,sun,moon,ascendant
"Ricardo Acuna",171,N/A,N/A,"yang metal","yin water","yin earth","yin fire","yin metal",N/A,"yang wood",tiger,ox,rooster,"Late Winter",metal,rhythmic,eagle,175,eagle,rhythmic,seed,rhythmic,snake,rhythmic,worldBridger,galactic,yellow,blue,"Cap 22 48 28","Sco 04 35 13","Ari 24 15 24"
"Erick Iskersky",172,N/A,N/A,"yang water","yin water","yin earth","yin fire","yin metal",N/A,"yang wood",tiger,ox,rooster,"Late Winter",neutral,overtone,hand,187,eagle,overtone,human,overtone,earth,overtone,wizard,solar,yellow,blue,"Aqu 05 01 29","Ari 06 51 17","Tau 06 37 12"
"Kevin Curren",173,N/A,N/A,"yang earth","yang wood","yang wood","yang earth","yang earth",N/A,"yang wood",tiger,tiger,dog,"Early Spring",wood,lunar,night,223,eagle,lunar,warrior,lunar,skyWalker,lunar,mirror,crystal,yellow,blue,"Pis 11 24 26","Can 26 09 59","Gem 11 19 16"
"Andreas Maurer",174,N/A,N/A,"yang wood","yin wood","yin wood","yang earth","yang earth",N/A,"yang metal",monkey,rabbit,dog,"Mid Spring",wood,galactic,moon,229,skyWalker,galactic,dog,galactic,storm,galactic,human,rhythmic,white,red,"Pis 17 24 49","Lib 25 57 33","Gem 16 49 27"
"Johan Kriek",175,N/A,N/A,"yang water","yang fire","yang earth","yang earth","yang earth",N/A,"yang water",rat,dragon,dog,"Late Spring",earth,planetary,earth,257,snake,planetary,wind,planetary,hand,planetary,seed,selfexisting,white,red,"Ari 15 11 48","Sco 04 12 46","Can 12 13 16"
"Drew Gitlin",176,N/A,N/A,"yin water","yin fire","yin fire","yang earth","yang earth",N/A,"yin wood",rabbit,snake,dog,"Early Summer",neutral,solar,star,48,seed,solar,monkey,solar,mirror,solar,skyWalker,overtone,blue,yellow,"Gem 04 43 53","Vir 08 44 15","Vir 01 31 56"
"Eric Fromm",177,N/A,N/A,"yin wood","yang earth","yang fire","yang earth","yang earth",N/A,"yin water",pig,horse,dog,"Mid Summer",earth,lunar,sun,80,human,lunar,storm,lunar,dog,lunar,dragon,crystal,blue,yellow,"Can 05 19 39","Sco 16 17 12","Lib 05 32 50"
"Brad Drewett",178,N/A,N/A,"yin fire","yin earth","yin earth","yang earth","yang earth",N/A,"yin metal",rooster,sheep,dog,"Late Summer",earth,spectral,wind,102,wind,spectral,earth,spectral,human,spectral,storm,electric,red,white,"Can 26 18 24","Vir 01 57 26","Lib 28 48 41"
"Nduka Odizor",179,N/A,N/A,"yang earth","yang metal","yang metal","yang earth","yang earth",N/A,"yang fire",horse,monkey,dog,"Early Autumn",earth,rhythmic,night,123,night,rhythmic,warrior,rhythmic,skyWalker,rhythmic,mirror,galactic,yellow,blue,"Leo 16 23 13","Gem 06 00 01","Sco 19 55 17"
"Jose Luis Clerc",180,N/A,N/A,"yin wood","yang metal","yang metal","yang earth","yang earth",N/A,"yin earth",ox,monkey,dog,"Early Autumn",earth,cosmic,dog,130,wizard,cosmic,moon,cosmic,sun,cosmic,monkey,magnetic,red,white,"Leo 23 06 35","Vir 11 29 37","Sco 26 40 36"
"Chip Hooper",181,N/A,N/A,"yang wood","yang water","yang earth","yang earth","yang earth",N/A,"yang earth",dog,dog,dog,"Late Autumn",earth,selfexisting,storm,199,eagle,selfexisting,sun,selfexisting,moon,selfexisting,wind,planetary,yellow,blue,"Sco 00 34 23","Pis 26 26 52","Aqu 00 11 36"
"Marty Davis",182,N/A,N/A,"yang fire","yin water","yin water","yang earth","yang earth",N/A,"yang metal",monkey,pig,dog,"Early Winter",neutral,cosmic,dragon,221,snake,cosmic,mirror,cosmic,monkey,cosmic,sun,magnetic,white,red,"Sco 22 37 18","Cap 19 55 50","Aqu 21 41 35"
"Peter Rennert",183,N/A,N/A,"yin fire","yang wood","yang water","yang earth","yang earth",N/A,"yin earth",ox,rat,dog,"Mid Winter",earth,lunar,wind,2,wizard,lunar,earth,lunar,human,lunar,storm,crystal,red,white,"Cap 04 12 56","Can 08 09 35","Ari 04 52 48"
"Heinz Gunthardt",184,N/A,N/A,"yin metal","yang fire","yang wood","yin earth","yin water",N/A,"yin metal",rooster,tiger,pig,"Early Spring",neutral,resonant,worldBridger,46,mirror,resonant,skyWalker,resonant,warrior,resonant,eagle,resonant,red,white,"Aqu 18 58 58","Aqu 27 22 55","Tau 20 17 24"
"John McEnroe",185,N/A,N/A,"yin earth","yang fire","yang wood","yin earth","yin water",N/A,"yin fire",snake,tiger,pig,"Early Spring",neutral,lunar,wizard,54,worldBridger,lunar,snake,lunar,seed,lunar,hand,crystal,red,white,"Aqu 27 04 24","Gem 04 38 54","Tau 27 59 28"
"Van Winitsky",186,N/A,N/A,"yin water","yin fire","yin wood","yin earth","yin water",N/A,"yin fire",snake,rabbit,pig,"Mid Spring",neutral,cosmic,mirror,78,wind,cosmic,dragon,cosmic,star,cosmic,night,magnetic,red,white,"Pis 21 10 06","Ari 25 14 01","Gem 20 14 47"
"Eliot Teltscher",187,N/A,N/A,"yang fire","yin fire","yin wood","yin earth","yin water",N/A,"yang metal",monkey,rabbit,pig,"Mid Spring",wood,electric,dragon,81,snake,electric,mirror,electric,monkey,electric,sun,spectral,white,red,"Pis 24 09 38","Gem 00 44 09","Gem 22 58 12"
"Robert Vant Hof",188,N/A,N/A,"yang water","yang earth","yang earth","yin earth","yin water",N/A,"yang earth",dog,dragon,pig,"Late Spring",earth,electric,hand,107,monkey,electric,human,electric,earth,electric,wizard,spectral,yellow,blue,"Ari 19 52 26","Tau 15 31 33","Can 16 34 21"
"Jay Lapidus",189,N/A,N/A,"yin water","yang earth","yang earth","yin earth","yin water",N/A,"yin earth",sheep,dragon,pig,"Late Spring",earth,spectral,star,128,star,spectral,monkey,spectral,mirror,spectral,skyWalker,electric,blue,yellow,"Tau 10 22 05","Pis 00 00 52","Leo 06 17 14"
"Pascal Portes",190,N/A,N/A,"yang metal","yin earth","yin fire","yin earth","yin water",N/A,"yang earth",dog,snake,pig,"Early Summer",earth,crystal,eagle,155,hand,crystal,seed,crystal,snake,crystal,worldBridger,lunar,yellow,blue,"Gem 06 24 52","Aqu 26 22 18","Vir 03 21 19"
"Mike Bauer",191,N/A,N/A,"yang water","yang metal","yang fire","yin earth","yin water",N/A,"yang fire",horse,horse,pig,"Mid Summer",fire,overtone,hand,187,eagle,overtone,human,overtone,earth,overtone,wizard,solar,yellow,blue,"Can 06 59 59","Ari 24 27 59","Lib 07 25 49"
"Mel Purcell",192,N/A,N/A,"yin metal","yin metal","yin earth","yin earth","yin water",N/A,"yin earth",ox,sheep,pig,"Late Summer",earth,spectral,worldBridger,206,worldBridger,spectral,skyWalker,spectral,warrior,spectral,eagle,electric,red,white,"Can 25 07 11","Cap 02 38 34","Lib 27 31 20"
"Leif Shiras",193,N/A,N/A,"yin wood","yang water","yang metal","yin earth","yin water",N/A,"yin water",pig,monkey,pig,"Early Autumn",water,rhythmic,sun,240,sun,rhythmic,storm,rhythmic,dog,rhythmic,dragon,galactic,blue,yellow,"Leo 27 40 60","Ari 03 46 39","Sag 01 11 35"
"Michiel Schapers",194,N/A,N/A,"yang fire","yang wood","yang earth","yin earth","yin water",N/A,"yang wood",tiger,dog,pig,"Late Autumn",wood,overtone,monkey,31,storm,overtone,star,overtone,dragon,overtone,dog,solar,yellow,blue,"Lib 17 25 22","Aqu 16 45 05","Cap 17 50 22"
"Tim Wilkison",195,N/A,N/A,"yin earth","yin wood","yin water","yin earth","yin water",N/A,"yin metal",rooster,pig,pig,"Early Winter",water,solar,wizard,74,dog,solar,snake,solar,seed,solar,hand,overtone,red,white,"Sag 00 26 40","Leo 29 55 51","Aqu 29 36 17"
"Mark Dickson",196,N/A,N/A,"yang wood","yang fire","yang water","yin earth","yin water",N/A,"yang water",rat,rat,pig,"Mid Winter",water,spectral,moon,89,moon,spectral,dog,spectral,storm,spectral,human,electric,white,red,"Sag 15 39 03","Ari 02 05 07","Pis 15 19 57"
"Claudio Panatta",197,N/A,N/A,"yang metal","yin fire","yin earth","yin earth","yin water",N/A,"yang metal",monkey,ox,pig,"Late Winter",neutral,lunar,snake,145,earth,lunar,wizard,lunar,eagle,lunar,warrior,crystal,white,red,"Aqu 12 39 32","Ari 18 57 55","Tau 14 09 15"
"Andres Gomez",198,N/A,N/A,"yin wood","yang earth","yang wood","yang metal","yang water",N/A,"yin metal",rooster,tiger,rat,"Early Spring",neutral,magnetic,dog,170,dog,magnetic,moon,magnetic,sun,magnetic,monkey,cosmic,red,white,"Pis 07 54 38","Pis 17 16 42","Gem 08 05 46"
"Fritz Buehning",199,N/A,N/A,"yang water","yin earth","yin wood","yang metal","yang water",N/A,"yang earth",dragon,rabbit,rat,"Mid Spring",neutral,resonant,warrior,176,star,resonant,night,resonant,worldBridger,resonant,snake,resonant,blue,yellow,"Pis 14 55 59","Gem 15 20 41","Gem 14 32 56"
"Ivan Lendl",200,N/A,N/A,"yang wood","yin earth","yin wood","yang metal","yang water",N/A,"yang fire",horse,rabbit,rat,"Mid Spring",wood,solar,mirror,178,wizard,solar,dragon,solar,star,solar,night,overtone,red,white,"Pis 16 56 04","Can 09 08 11","Gem 16 22 44"
"Per Hjertquist",201,N/A,N/A,"yang wood","yang metal","yang earth","yang metal","yang water",N/A,"yang water",rat,dragon,rat,"Late Spring",water,cosmic,star,208,human,cosmic,monkey,cosmic,mirror,cosmic,skyWalker,magnetic,blue,yellow,"Ari 16 41 31","Leo 11 10 56","Can 13 36 07"
"Yannick Noah",202,N/A,N/A,"yang fire","yin metal","yin fire","yang metal","yang water",N/A,"yang fire",horse,snake,rat,"Early Summer",fire,electric,dog,250,wizard,electric,moon,electric,sun,electric,monkey,spectral,red,white,"Tau 27 31 54","Pis 05 57 59","Leo 23 51 12"
"Tim Mayotte",203,N/A,N/A,"yin water","yin water","yin earth","yang metal","yang water",N/A,"yin water",pig,sheep,rat,"Late Summer",water,lunar,hand,67,storm,lunar,human,lunar,earth,lunar,wizard,crystal,yellow,blue,"Leo 11 07 48","Sag 20 28 53","Sco 14 31 44"
"Marko Ostoja",204,N/A,N/A,"yin metal","yang fire","yang earth","yang metal","yang water",N/A,"yin fire",snake,dog,rat,"Late Autumn",fire,lunar,snake,145,earth,lunar,wizard,lunar,eagle,lunar,warrior,crystal,white,red,"Lib 27 05 41","Lib 27 04 28","Cap 26 54 15"
"Pedro Rebolledo",205,N/A,N/A,"yin earth","yang earth","yang water","yang metal","yang water",N/A,"yin wood",rabbit,rat,rat,"Mid Winter",water,galactic,night,203,hand,galactic,warrior,galactic,skyWalker,galactic,mirror,rhythmic,yellow,blue,"Sag 25 34 02","Sag 12 15 14","Pis 25 45 53"
"John Fitzgerald",206,N/A,N/A,"yang metal","yang earth","yang water","yang metal","yang water",N/A,"yang wood",tiger,rat,rat,"Mid Winter",water,rhythmic,wizard,214,wizard,rhythmic,snake,rhythmic,seed,rhythmic,hand,galactic,red,white,"Cap 06 46 30","Tau 17 05 17","Ari 07 34 27"
"Broderick Dyke",207,N/A,N/A,"yin water","yang earth","yang water","yang metal","yang water",N/A,"yin fire",snake,rat,rat,"Mid Winter",water,solar,earth,217,skyWalker,solar,wind,solar,hand,solar,seed,overtone,white,red,"Cap 09 49 55","Gem 23 48 39","Ari 10 47 03"
"Dan Cassidy",208,N/A,N/A,"yang water","yang water","yang earth","yin metal","yin earth",N/A,"yang earth",dragon,dragon,ox,"Late Spring",earth,spectral,warrior,76,warrior,spectral,night,spectral,worldBridger,spectral,snake,electric,blue,yellow,"Tau 08 55 36","Lib 23 09 42","Leo 04 51 24"
"Christo Steyn",209,N/A,N/A,"yang wood","yang water","yang earth","yin metal","yin earth",N/A,"yang fire",horse,dragon,ox,"Late Spring",earth,cosmic,mirror,78,wind,cosmic,dragon,cosmic,star,cosmic,night,magnetic,red,white,"Tau 10 52 03","Sco 19 59 28","Leo 06 46 54"
"Peter Doohan",210,N/A,N/A,"yin wood","yang water","yang earth","yin metal","yin earth",N/A,"yin earth",sheep,dragon,ox,"Late Spring",earth,magnetic,storm,79,storm,magnetic,sun,magnetic,moon,magnetic,wind,cosmic,yellow,blue,"Tau 11 50 14","Sag 03 49 01","Leo 07 44 54"
"Ramesh Krishnan",211,N/A,N/A,"yin earth","yin water","yin fire","yin metal","yin earth",N/A,"yin fire",snake,snake,ox,"Early Summer",fire,solar,skyWalker,113,moon,solar,worldBridger,solar,night,solar,star,overtone,white,red,"Gem 14 34 15","Pis 09 30 30","Vir 12 17 32"
"Anders Jarryd",212,N/A,N/A,"yin fire","yin wood","yin earth","yin metal","yin earth",N/A,"yin earth",sheep,sheep,ox,"Late Summer",earth,galactic,monkey,151,eagle,galactic,star,galactic,dragon,galactic,dog,rhythmic,yellow,blue,"Can 20 50 17","Can 28 32 33","Lib 22 50 24"
"Danny Saltz",213,N/A,N/A,"yang wood","yin wood","yin earth","yin metal","yin earth",N/A,"yang water",rat,sheep,ox,"Late Summer",earth,crystal,star,168,sun,crystal,monkey,crystal,mirror,crystal,skyWalker,lunar,blue,yellow,"Leo 07 04 10","Pis 14 48 26","Sco 10 17 54"
"Brad Gilbert",214,N/A,N/A,"yang wood","yang fire","yang metal","yin metal","yin earth",N/A,"yang earth",dog,monkey,ox,"Early Autumn",earth,solar,mirror,178,wizard,solar,dragon,solar,star,solar,night,overtone,red,white,"Leo 16 38 47","Can 25 33 24","Sco 20 11 01"
"Rodney Harmon",215,N/A,N/A,"yin metal","yang fire","yang metal","yin metal","yin earth",N/A,"yin fire",snake,monkey,ox,"Early Autumn",metal,electric,snake,185,moon,electric,wizard,electric,eagle,electric,warrior,spectral,white,red,"Leo 23 22 11","Lib 18 48 03","Sco 26 56 01"
"Mario Martinez",216,N/A,N/A,"yang earth","yin fire","yin metal","yin metal","yin earth",N/A,"yang metal",monkey,rooster,ox,"Mid Autumn",metal,selfexisting,human,212,star,selfexisting,hand,selfexisting,wind,selfexisting,moon,planetary,blue,yellow,"Vir 19 28 41","Lib 15 54 31","Sag 21 57 50"
"Kelly Evernden",217,N/A,N/A,"yin fire","yin fire","yin metal","yin metal","yin earth",N/A,"yin fire",snake,rooster,ox,"Mid Autumn",fire,cosmic,dragon,221,snake,cosmic,mirror,cosmic,monkey,cosmic,sun,magnetic,white,red,"Vir 28 15 34","Aqu 16 37 29","Cap 00 06 44"
"Pablo Arraya",218,N/A,N/A,"yin fire","yang earth","yang earth","yin metal","yin earth",N/A,"yin water",pig,dog,ox,"Late Autumn",earth,selfexisting,monkey,251,hand,selfexisting,star,selfexisting,dragon,selfexisting,dog,planetary,yellow,blue,"Lib 27 51 10","Pis 25 22 22","Cap 27 36 55"
"Ben Testerman",219,N/A,N/A,"yin metal","yin metal","yin earth","yin metal","yin earth",N/A,"yin earth",sheep,ox,ox,"Late Winter",earth,selfexisting,eagle,95,monkey,selfexisting,seed,selfexisting,snake,selfexisting,worldBridger,planetary,yellow,blue,"Aqu 13 10 11","Cap 08 45 56","Tau 14 39 45"
"Diego Perez",220,N/A,N/A,"yang earth","yang water","yang wood","yang water","yang wood",N/A,"yang wood",tiger,tiger,tiger,"Early Spring",wood,spectral,wind,102,wind,spectral,earth,spectral,human,spectral,storm,electric,red,white,"Aqu 20 15 59","Ari 22 33 41","Tau 21 31 24"
"Juan Aguilera",221,N/A,N/A,"yin earth","yin water","yin wood","yang water","yang wood",N/A,"yin earth",sheep,rabbit,tiger,"Mid Spring",wood,cosmic,night,143,hand,cosmic,warrior,cosmic,skyWalker,cosmic,mirror,magnetic,yellow,blue,"Ari 01 23 08","Lib 14 10 52","Gem 29 33 00"
"Paul Chamberlin",222,N/A,N/A,"yin water","yin water","yin wood","yang water","yang wood",N/A,"yin water",pig,rabbit,tiger,"Mid Spring",neutral,selfexisting,hand,147,night,selfexisting,human,selfexisting,earth,selfexisting,wizard,planetary,yellow,blue,"Ari 05 20 56","Sag 03 15 03","Can 03 10 04"
"David Pate",223,N/A,N/A,"yang wood","yang wood","yang earth","yang water","yang wood",N/A,"yang metal",monkey,dragon,tiger,"Late Spring",wood,crystal,star,168,sun,crystal,monkey,crystal,mirror,crystal,skyWalker,lunar,blue,yellow,"Ari 26 01 04","Vir 17 13 12","Can 22 21 39"
"Jan Gunnarsson",224,N/A,N/A,"yang earth","yin wood","yin fire","yang water","yang wood",N/A,"yang earth",dragon,snake,tiger,"Early Summer",neutral,selfexisting,human,212,star,selfexisting,hand,selfexisting,wind,selfexisting,moon,planetary,blue,yellow,"Gem 08 35 28","Ari 28 01 60","Vir 05 43 19"
"Jeremy Bates",225,N/A,N/A,"yang earth","yang fire","yang fire","yang water","yang wood",N/A,"yang water",rat,horse,tiger,"Mid Summer",neutral,spectral,human,232,human,spectral,hand,spectral,wind,spectral,moon,electric,blue,yellow,"Gem 27 43 06","Cap 15 39 25","Vir 26 59 00"
"Scott Davis",226,N/A,N/A,"yin fire","yang earth","yang metal","yang water","yang wood",N/A,"yin metal",rooster,monkey,tiger,"Early Autumn",metal,lunar,dragon,41,skyWalker,lunar,mirror,lunar,monkey,lunar,sun,crystal,white,red,"Vir 03 43 52","Leo 04 22 31","Sag 07 03 58"
"Sergio Casal",227,N/A,N/A,"yin earth","yin earth","yin metal","yang water","yang wood",N/A,"yin metal",rooster,rooster,tiger,"Mid Autumn",metal,magnetic,skyWalker,53,skyWalker,magnetic,worldBridger,magnetic,night,magnetic,star,cosmic,white,red,"Vir 15 21 14","Sag 29 49 13","Sag 18 06 18"
"Christo Van Rensburg",228,N/A,N/A,"yang wood","yang metal","yang earth","yang water","yang wood",N/A,"yang fire",horse,dog,tiger,"Late Autumn",wood,resonant,mirror,98,dog,resonant,dragon,resonant,star,resonant,night,resonant,red,white,"Lib 29 35 56","Vir 04 42 54","Cap 29 16 18"
"Joakim Nystrom",229,N/A,N/A,"yang wood","yang wood","yang wood","yin water","yin wood",N/A,"yang fire",horse,tiger,rabbit,"Early Spring",wood,planetary,mirror,218,worldBridger,planetary,dragon,planetary,star,planetary,night,selfexisting,red,white,"Pis 01 07 43","Cap 14 37 29","Gem 01 48 16"
"Francesco Cancellotti",230,N/A,N/A,"yin metal","yang wood","yang wood","yin water","yin wood",N/A,"yin earth",ox,tiger,rabbit,"Early Spring",wood,selfexisting,snake,225,dragon,selfexisting,wizard,selfexisting,eagle,selfexisting,warrior,planetary,white,red,"Pis 08 10 32","Ari 25 19 02","Gem 08 20 47"
"Paul Annacone",231,N/A,N/A,"yang water","yin wood","yin wood","yin water","yin wood",N/A,"yang earth",dog,rabbit,rabbit,"Mid Spring",wood,crystal,worldBridger,246,mirror,crystal,skyWalker,crystal,warrior,crystal,eagle,lunar,red,white,"Pis 29 09 30","Cap 22 36 54","Gem 27 31 17"
"Sammy Giammalva Jr",232,N/A,N/A,"yang fire","yin wood","yin wood","yin water","yin wood",N/A,"yang wood",tiger,rabbit,rabbit,"Mid Spring",wood,electric,dog,250,wizard,electric,moon,electric,sun,electric,monkey,spectral,red,white,"Ari 03 07 47","Pis 18 56 59","Can 01 08 20"
"Roberto Arguello",233,N/A,N/A,"yin wood","yin fire","yin fire","yin water","yin wood",N/A,"yin wood",rabbit,snake,rabbit,"Early Summer",wood,cosmic,storm,39,night,cosmic,sun,cosmic,moon,cosmic,wind,magnetic,yellow,blue,"Tau 21 02 48","Cap 02 57 16","Leo 17 05 13"
"Wally Masur",234,N/A,N/A,"yang fire","yin fire","yin fire","yin water","yin wood",N/A,"yang earth",dragon,snake,rabbit,"Early Summer",fire,magnetic,sun,40,sun,magnetic,storm,magnetic,dog,magnetic,dragon,cosmic,blue,yellow,"Tau 22 00 43","Cap 15 20 27","Leo 18 05 02"
"Ken Flach",235,N/A,N/A,"yin fire","yin fire","yin fire","yin water","yin wood",N/A,"yin wood",rabbit,snake,rabbit,"Early Summer",neutral,crystal,monkey,51,night,crystal,star,crystal,dragon,crystal,dog,lunar,yellow,blue,"Gem 02 36 22","Gem 21 12 13","Leo 29 14 32"
"Matt Anger",236,N/A,N/A,"yang wood","yang earth","yang fire","yin water","yin wood",N/A,"yang fire",horse,horse,rabbit,"Mid Summer",fire,cosmic,mirror,78,wind,cosmic,dragon,cosmic,star,cosmic,night,magnetic,red,white,"Gem 28 26 46","Gem 14 55 50","Vir 27 47 47"
"Henri Leconte",237,N/A,N/A,"yang earth","yang earth","yang fire","yin water","yin wood",N/A,"yang metal",monkey,horse,rabbit,"Mid Summer",neutral,magnetic,human,92,human,magnetic,hand,magnetic,wind,magnetic,moon,cosmic,blue,yellow,"Can 11 47 55","Sag 14 02 32","Lib 12 48 12"
"Thierry Tulasne",238,N/A,N/A,"yang fire","yin earth","yin earth","yin water","yin wood",N/A,"yang earth",dragon,sheep,rabbit,"Late Summer",earth,solar,sun,100,warrior,solar,storm,solar,dog,solar,dragon,overtone,blue,yellow,"Can 19 25 24","Pis 28 40 56","Lib 21 16 45"
"Mikael Pernfors",239,N/A,N/A,"yang metal","yin earth","yin earth","yin water","yin wood",N/A,"yang metal",monkey,sheep,rabbit,"Late Summer",neutral,cosmic,seed,104,star,cosmic,eagle,cosmic,wizard,cosmic,earth,magnetic,blue,yellow,"Can 23 14 17","Tau 25 32 14","Lib 25 28 08"
"Slobodan Zivojinovic",240,N/A,N/A,"yin fire","yin earth","yin earth","yin water","yin wood",N/A,"yin wood",rabbit,sheep,rabbit,"Late Summer",wood,resonant,monkey,111,night,resonant,star,resonant,dragon,resonant,dog,resonant,yellow,blue,"Can 29 55 15","Vir 02 38 44","Sco 02 42 26"
"Libor Pimek",241,N/A,N/A,"yang earth","yin earth","yin earth","yin water","yin wood",N/A,"yang wood",tiger,sheep,rabbit,"Late Summer",neutral,overtone,wind,122,dog,overtone,earth,overtone,human,overtone,storm,solar,red,white,"Leo 10 26 08","Cap 17 17 54","Sco 13 48 19"
"Luiz Mattar",242,N/A,N/A,"yin water","yang metal","yang metal","yin water","yin wood",N/A,"yin fire",snake,monkey,rabbit,"Early Autumn",metal,resonant,earth,137,moon,resonant,wind,resonant,hand,resonant,seed,resonant,white,red,"Leo 24 49 29","Leo 14 52 57","Sco 28 22 35"
"Yahiya Doumbia",243,N/A,N/A,"yang metal","yang metal","yang metal","yin water","yin wood",N/A,"yang water",rat,monkey,rabbit,"Early Autumn",metal,magnetic,seed,144,seed,magnetic,eagle,magnetic,wizard,magnetic,earth,cosmic,blue,yellow,"Vir 01 34 08","Sco 12 04 58","Sag 04 58 30"
"Simone Colombo",244,N/A,N/A,"yin water","yang metal","yang metal","yin water","yin wood",N/A,"yin wood",rabbit,monkey,rabbit,"Early Autumn",wood,selfexisting,hand,147,night,selfexisting,human,selfexisting,earth,selfexisting,wizard,planetary,yellow,blue,"Vir 04 27 52","Sag 17 49 41","Sag 07 46 11"
"Thomas Hogstedt",245,N/A,N/A,"yin fire","yin metal","yin metal","yin water","yin wood",N/A,"yin wood",rabbit,rooster,rabbit,"Mid Autumn",wood,lunar,monkey,171,night,lunar,star,lunar,dragon,lunar,dog,crystal,yellow,blue,"Vir 27 46 56","Sco 08 22 17","Sag 29 40 21"
"Dan Goldie",246,N/A,N/A,"yin earth","yin metal","yin metal","yin water","yin wood",N/A,"yin wood",rabbit,rooster,rabbit,"Mid Autumn",wood,magnetic,night,183,night,magnetic,warrior,magnetic,skyWalker,magnetic,mirror,cosmic,yellow,blue,"Lib 09 33 14","Ari 13 47 34","Cap 10 32 46"
"Todd Witsken",247,N/A,N/A,"yin metal","yang water","yang earth","yin water","yin wood",N/A,"yin water",pig,dog,rabbit,"Late Autumn",neutral,resonant,eagle,215,hand,resonant,seed,resonant,snake,resonant,worldBridger,resonant,yellow,blue,"Sco 11 20 32","Gem 22 36 17","Aqu 10 33 34"
"Milan Srejber",248,N/A,N/A,"yin fire","yang wood","yang water","yin water","yin wood",N/A,"yin earth",sheep,rat,rabbit,"Mid Winter",neutral,spectral,monkey,11,monkey,spectral,star,spectral,dragon,spectral,dog,electric,yellow,blue,"Cap 08 03 48","Can 08 36 06","Ari 08 56 06"
"Jim Pugh",249,N/A,N/A,"yang wood","yang fire","yang wood","yang wood","yang earth",N/A,"yang metal",monkey,tiger,dragon,"Early Spring",wood,solar,star,48,seed,solar,monkey,solar,mirror,solar,skyWalker,overtone,blue,yellow,"Aqu 15 42 53","Sco 15 23 45","Tau 17 08 36"
"Massimiliano Narducci",250,N/A,N/A,"yang wood","yang fire","yang wood","yang wood","yang earth",N/A,"yang earth",dragon,tiger,dragon,"Early Spring",neutral,electric,star,68,human,electric,monkey,electric,mirror,electric,skyWalker,spectral,blue,yellow,"Pis 05 55 04","Leo 10 18 20","Gem 06 15 43"
"Henrik Sundstrom",251,N/A,N/A,"yang earth","yang fire","yang wood","yang wood","yang earth",N/A,"yang metal",monkey,tiger,dragon,"Early Spring",neutral,overtone,seed,44,human,overtone,eagle,overtone,wizard,overtone,earth,solar,blue,yellow,"Pis 09 56 08","Lib 03 53 21","Gem 09 58 25"
"Kelly Jones",252,N/A,N/A,"yin earth","yin fire","yin wood","yang wood","yang earth",N/A,"yin wood",rabbit,rabbit,dragon,"Mid Spring",wood,spectral,wind,102,wind,spectral,earth,spectral,human,spectral,storm,electric,red,white,"Ari 10 47 55","Sco 19 12 48","Can 08 09 50"
"Jim Grabb",253,N/A,N/A,"yin water","yang earth","yang earth","yang wood","yang earth",N/A,"yin fire",snake,dragon,dragon,"Late Spring",earth,crystal,warrior,116,star,crystal,night,crystal,worldBridger,crystal,snake,lunar,blue,yellow,"Ari 24 33 46","Tau 21 54 15","Can 20 58 58"
"Ricki Osterthun",254,N/A,N/A,"yin metal","yang earth","yang earth","yang wood","yang earth",N/A,"yin water",pig,dragon,dragon,"Late Spring",earth,selfexisting,wizard,134,dog,selfexisting,snake,selfexisting,seed,selfexisting,hand,planetary,red,white,"Tau 12 05 56","Cap 14 56 30","Leo 08 00 38"
"Goran Prpic",255,N/A,N/A,"yin water","yang earth","yang earth","yang wood","yang earth",N/A,"yin earth",ox,dragon,dragon,"Late Spring",earth,rhythmic,warrior,136,warrior,rhythmic,night,rhythmic,worldBridger,rhythmic,snake,galactic,blue,yellow,"Tau 14 02 15","Aqu 09 07 03","Leo 09 57 13"
"Miloslav Mecir",256,N/A,N/A,"yang earth","yin earth","yin fire","yang wood","yang earth",N/A,"yang earth",dragon,snake,dragon,"Early Summer",earth,galactic,monkey,151,eagle,galactic,star,galactic,dragon,galactic,dog,rhythmic,yellow,blue,"Tau 28 31 26","Vir 10 24 23","Leo 24 53 51"
"Francisco Maciel",257,N/A,N/A,"yin metal","yang metal","yang fire","yang wood","yang earth",N/A,"yin water",pig,horse,dragon,"Mid Summer",neutral,crystal,wizard,194,worldBridger,crystal,snake,crystal,seed,crystal,hand,lunar,red,white,"Can 09 39 18","Pis 22 57 05","Lib 10 24 35"
"Jimmy Arias",258,N/A,N/A,"yin fire","yang water","yang metal","yang wood","yang earth",N/A,"yin metal",rooster,monkey,dragon,"Early Autumn",metal,rhythmic,sun,240,sun,rhythmic,storm,rhythmic,dog,rhythmic,dragon,galactic,blue,yellow,"Leo 23 37 48","Sag 08 31 55","Sco 27 11 35"
"Mats Wilander",259,N/A,N/A,"yin water","yang water","yang metal","yang wood","yang earth",N/A,"yin wood",rabbit,monkey,dragon,"Early Autumn",wood,crystal,worldBridger,246,mirror,crystal,skyWalker,crystal,warrior,crystal,eagle,lunar,red,white,"Leo 29 24 14","Aqu 20 52 33","Sag 02 52 25"
